Record #:  0
Notes :


24.06.201715:18:34
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
267,362595E-6	-7,926321E-3	-5,785275E-3	2,783632E-3	-9,427452E-3	-5,970097E-3	-9,612656E-3	2,499056E-3
268,077850E-6	-7,922506E-3	-5,764055E-3	2,775431E-3	-9,431553E-3	-5,976486E-3	-9,602404E-3	2,497721E-3
268,125534E-6	-7,923412E-3	-5,747032E-3	2,763319E-3	-9,429026E-3	-5,983496E-3	-9,598303E-3	2,495575E-3
268,697739E-6	-7,933235E-3	-5,757809E-3	2,769899E-3	-9,436226E-3	-6,003571E-3	-9,605932E-3	2,504301E-3
267,362595E-6	-7,949209E-3	-5,782413E-3	2,776670E-3	-9,460878E-3	-6,031466E-3	-9,582424E-3	2,508545E-3
266,838074E-6	-7,974815E-3	-5,828428E-3	2,785015E-3	-9,461832E-3	-6,040287E-3	-9,564686E-3	2,519226E-3
268,650055E-6	-7,981825E-3	-5,849934E-3	2,794981E-3	-9,468031E-3	-6,045246E-3	-9,596443E-3	2,513170E-3
268,840790E-6	-7,974625E-3	-5,859423E-3	2,814245E-3	-9,480858E-3	-6,039524E-3	-9,604740E-3	2,522564E-3
267,791748E-6	-7,976675E-3	-5,862141E-3	2,804804E-3	-9,497023E-3	-6,050539E-3	-9,603310E-3	2,522659E-3
268,030167E-6	-7,979918E-3	-5,861950E-3	2,804661E-3	-9,486055E-3	-6,049299E-3	-9,609175E-3	2,536488E-3
268,650055E-6	-7,971478E-3	-5,861092E-3	2,819681E-3	-9,473705E-3	-6,045198E-3	-9,637690E-3	2,554941E-3
267,696381E-6	-7,974243E-3	-5,863714E-3	2,834415E-3	-9,440470E-3	-6,011438E-3	-9,606695E-3	2,576351E-3
267,696381E-6	-7,983780E-3	-5,851078E-3	2,826452E-3	-9,426403E-3	-5,989408E-3	-9,589529E-3	2,577734E-3
267,934799E-6	-7,980871E-3	-5,842781E-3	2,817822E-3	-9,430885E-3	-5,996656E-3	-9,543514E-3	2,574015E-3
268,316269E-6	-7,971001E-3	-5,839682E-3	2,806473E-3	-9,449816E-3	-6,020689E-3	-9,536648E-3	2,561998E-3
268,650055E-6	-7,955217E-3	-5,824518E-3	2,806807E-3	-9,464598E-3	-6,034899E-3	-9,528303E-3	2,556610E-3
267,934799E-6	-7,931757E-3	-5,808973E-3	2,824402E-3	-9,485817E-3	-6,044102E-3	-9,496260E-3	2,567148E-3
267,553329E-6	-7,924128E-3	-5,793715E-3	2,827120E-3	-9,512615E-3	-6,068945E-3	-9,536362E-3	2,563715E-3
268,459320E-6	-7,929754E-3	-5,803061E-3	2,841949E-3	-9,505844E-3	-6,065798E-3	-9,608507E-3	2,570820E-3
269,174576E-6	-7,949638E-3	-5,838013E-3	2,848673E-3	-9,474564E-3	-6,038284E-3	-9,543371E-3	2,575827E-3
266,838074E-6	-7,965946E-3	-5,871964E-3	2,865601E-3	-9,441757E-3	-6,005239E-3	-9,568644E-3	2,590942E-3
267,314911E-6	-7,988739E-3	-5,879116E-3	2,858210E-3	-9,416628E-3	-5,976725E-3	-9,564686E-3	2,596617E-3
267,505646E-6	-8,018303E-3	-5,898523E-3	2,834988E-3	-9,404469E-3	-5,971098E-3	-9,564209E-3	2,578449E-3
268,077850E-6	-8,029556E-3	-5,898142E-3	2,813292E-3	-9,432888E-3	-6,003952E-3	-9,606409E-3	2,552986E-3
268,030167E-6	-8,041382E-3	-5,892229E-3	2,791977E-3	-9,465551E-3	-6,042528E-3	-9,641075E-3	2,535009E-3
267,648697E-6	-8,042049E-3	-5,890656E-3	2,786350E-3	-9,483528E-3	-6,068563E-3	-9,605217E-3	2,525759E-3
267,696381E-6	-8,033705E-3	-5,892420E-3	2,808475E-3	-9,489107E-3	-6,071568E-3	-9,592485E-3	2,535057E-3
268,077850E-6	-8,031082E-3	-5,893517E-3	2,823114E-3	-9,509087E-3	-6,078911E-3	-9,602737E-3	2,541542E-3
267,553329E-6	-8,025217E-3	-5,876923E-3	2,812290E-3	-9,524059E-3	-6,083679E-3	-9,619045E-3	2,531099E-3
268,077850E-6	-8,023071E-3	-5,857515E-3	2,800226E-3	-9,523726E-3	-6,078386E-3	-9,644222E-3	2,521420E-3
268,602371E-6	-8,015490E-3	-5,843782E-3	2,825594E-3	-9,515810E-3	-6,066370E-3	-9,644842E-3	2,551508E-3
268,459320E-6	-8,009815E-3	-5,841208E-3	2,833986E-3	-9,499645E-3	-6,055880E-3	-9,583426E-3	2,570677E-3
267,696381E-6	-7,989836E-3	-5,828905E-3	2,822065E-3	-9,490108E-3	-6,053114E-3	-9,625626E-3	2,562761E-3
267,696381E-6	-7,943916E-3	-5,795288E-3	2,816486E-3	-9,475136E-3	-6,045008E-3	-9,593296E-3	2,549219E-3
267,696381E-6	-7,888460E-3	-5,771255E-3	2,825546E-3	-9,479856E-3	-6,040859E-3	-9,592104E-3	2,536488E-3
268,507004E-6	-7,803154E-3	-5,711126E-3	2,814960E-3	-9,508467E-3	-6,055403E-3	-9,639931E-3	2,491236E-3
267,934799E-6	-7,706404E-3	-5,649805E-3	2,790403E-3	-9,532309E-3	-6,068993E-3	-9,683800E-3	2,437401E-3
267,791748E-6	-7,620764E-3	-5,618334E-3	2,805996E-3	-9,502172E-3	-6,015348E-3	-9,668064E-3	2,429438E-3
267,934799E-6	-7,539654E-3	-5,566311E-3	2,800083E-3	-9,461594E-3	-5,939054E-3	-9,696484E-3	2,404118E-3
267,934799E-6	-7,479620E-3	-5,533552E-3	2,769375E-3	-9,400797E-3	-5,851841E-3	-9,736729E-3	2,365494E-3
267,267227E-6	-7,437038E-3	-5,495501E-3	2,705240E-3	-9,347200E-3	-5,783701E-3	-9,710121E-3	2,299452E-3
267,028809E-6	-7,411861E-3	-5,434465E-3	2,589893E-3	-9,307051E-3	-5,731583E-3	-9,735060E-3	2,189684E-3
266,933441E-6	-7,404232E-3	-5,369806E-3	2,453232E-3	-9,257936E-3	-5,671787E-3	-9,790134E-3	2,066231E-3
266,695023E-6	-7,425308E-3	-5,308676E-3	2,305460E-3	-9,223032E-3	-5,641270E-3	-9,844398E-3	1,936674E-3
267,648697E-6	-7,468843E-3	-5,280161E-3	2,203131E-3	-9,199095E-3	-5,621529E-3	-9,878826E-3	1,855755E-3
267,314911E-6	-7,526827E-3	-5,305147E-3	2,169991E-3	-9,178448E-3	-5,599833E-3	-9,848547E-3	1,843882E-3
267,648697E-6	-7,582855E-3	-5,330372E-3	2,159452E-3	-9,171677E-3	-5,588245E-3	-9,793425E-3	1,848316E-3
267,934799E-6	-7,638073E-3	-5,368280E-3	2,185869E-3	-9,174871E-3	-5,585670E-3	-9,795523E-3	1,882648E-3
266,695023E-6	-7,724857E-3	-5,420494E-3	2,200365E-3	-9,181356E-3	-5,596685E-3	-9,759521E-3	1,920652E-3
267,267227E-6	-7,876444E-3	-5,519533E-3	2,225780E-3	-9,153652E-3	-5,604696E-3	-9,670496E-3	2,006912E-3
268,363953E-6	-8,083057E-3	-5,658722E-3	2,248240E-3	-9,149122E-3	-5,638552E-3	-9,613371E-3	2,103710E-3
267,791748E-6	-8,264637E-3	-5,792427E-3	2,231550E-3	-9,166193E-3	-5,686951E-3	-9,573030E-3	2,148533E-3
267,219543E-6	-8,339024E-3	-5,864573E-3	2,235937E-3	-9,162235E-3	-5,705118E-3	-9,575176E-3	2,175999E-3
267,601013E-6	-8,350706E-3	-5,906630E-3	2,285290E-3	-9,167385E-3	-5,724192E-3	-9,595203E-3	2,222109E-3
268,650055E-6	-8,324957E-3	-5,928898E-3	2,352619E-3	-9,205294E-3	-5,766344E-3	-9,584856E-3	2,268934E-3
267,410278E-6	-8,263159E-3	-5,948019E-3	2,441692E-3	-9,246683E-3	-5,807352E-3	-9,566545E-3	2,317810E-3
267,696381E-6	-8,188295E-3	-5,955076E-3	2,536011E-3	-9,271622E-3	-5,833483E-3	-9,594774E-3	2,363586E-3
268,316269E-6	-8,150053E-3	-5,969095E-3	2,621794E-3	-9,306240E-3	-5,875874E-3	-9,515762E-3	2,426624E-3
269,460678E-6	-8,127356E-3	-5,964041E-3	2,683926E-3	-9,354544E-3	-5,933809E-3	-9,470177E-3	2,473783E-3
269,126892E-6	-8,107042E-3	-5,973673E-3	2,735138E-3	-9,398556E-3	-5,980539E-3	-9,501266E-3	2,511120E-3
267,696381E-6	-8,085060E-3	-5,982494E-3	2,777529E-3	-9,425163E-3	-6,001997E-3	-9,465504E-3	2,539206E-3
267,648697E-6	-8,063364E-3	-5,960846E-3	2,805424E-3	-9,424591E-3	-5,998135E-3	-9,543848E-3	2,561951E-3
267,028809E-6	-8,052397E-3	-5,932379E-3	2,798414E-3	-9,433365E-3	-6,010771E-3	-9,599972E-3	2,556610E-3
266,933441E-6	-8,054924E-3	-5,925846E-3	2,796125E-3	-9,439611E-3	-6,021929E-3	-9,589243E-3	2,555609E-3
267,839432E-6	-8,035564E-3	-5,924273E-3	2,819300E-3	-9,447384E-3	-6,026316E-3	-9,589005E-3	2,571011E-3
268,363953E-6	-8,016634E-3	-5,911732E-3	2,826309E-3	-9,461451E-3	-6,035948E-3	-9,610510E-3	2,572107E-3
268,411636E-6	-8,017588E-3	-5,914021E-3	2,816820E-3	-9,484100E-3	-6,059504E-3	-9,589672E-3	2,557278E-3
267,791748E-6	-8,019018E-3	-5,915737E-3	2,828932E-3	-9,491777E-3	-6,068325E-3	-9,549952E-3	2,563810E-3
267,505646E-6	-8,023930E-3	-5,918550E-3	2,844286E-3	-9,487104E-3	-6,065416E-3	-9,561443E-3	2,579880E-3
266,838074E-6	-8,018637E-3	-5,898809E-3	2,843428E-3	-9,476948E-3	-6,058311E-3	-9,579134E-3	2,583218E-3
266,456604E-6	-8,008432E-3	-5,882072E-3	2,843571E-3	-9,488297E-3	-6,059837E-3	-9,583044E-3	2,580166E-3
267,553329E-6	-8,011866E-3	-5,897713E-3	2,858496E-3	-9,461832E-3	-6,026363E-3	-9,550905E-3	2,598572E-3
268,125534E-6	-8,022738E-3	-5,920267E-3	2,868938E-3	-9,414244E-3	-5,983973E-3	-9,524918E-3	2,613544E-3
268,077850E-6	-8,022165E-3	-5,940056E-3	2,864790E-3	-9,411430E-3	-5,991888E-3	-9,543324E-3	2,610064E-3
268,983841E-6	-8,012772E-3	-5,935431E-3	2,856827E-3	-9,444237E-3	-6,024599E-3	-9,574366E-3	2,597761E-3
268,745422E-6	-8,006001E-3	-5,921888E-3	2,848434E-3	-9,473181E-3	-6,050253E-3	-9,532881E-3	2,587032E-3
268,507004E-6	-7,998657E-3	-5,914831E-3	2,854109E-3	-9,498215E-3	-6,072140E-3	-9,526587E-3	2,587318E-3
268,602371E-6	-7,987213E-3	-5,921364E-3	2,867508E-3	-9,517622E-3	-6,094074E-3	-9,545946E-3	2,592278E-3
268,602371E-6	-7,980251E-3	-5,911160E-3	2,856302E-3	-9,536552E-3	-6,117630E-3	-9,604883E-3	2,581453E-3
268,745422E-6	-7,989264E-3	-5,913973E-3	2,865934E-3	-9,511662E-3	-6,097984E-3	-9,538507E-3	2,597952E-3
268,220901E-6	-7,989264E-3	-5,899572E-3	2,864408E-3	-9,487581E-3	-6,077480E-3	-9,492111E-3	2,595043E-3
267,648697E-6	-8,004141E-3	-5,902576E-3	2,858305E-3	-9,457636E-3	-6,045389E-3	-9,533548E-3	2,601194E-3
267,457962E-6	-8,011150E-3	-5,910397E-3	2,845240E-3	-9,445715E-3	-6,030178E-3	-9,574318E-3	2,592230E-3
268,316269E-6	-8,005428E-3	-5,923414E-3	2,856112E-3	-9,436417E-3	-6,024122E-3	-9,576130E-3	2,594805E-3
268,507004E-6	-8,006048E-3	-5,935287E-3	2,877283E-3	-9,427166E-3	-6,017685E-3	-9,572840E-3	2,608681E-3
268,650055E-6	-8,020926E-3	-5,947018E-3	2,863789E-3	-9,451532E-3	-6,042671E-3	-9,578276E-3	2,598047E-3
268,554687E-6	-8,016634E-3	-5,938959E-3	2,866364E-3	-9,478378E-3	-6,073904E-3	-9,526443E-3	2,593374E-3
268,173218E-6	-8,012819E-3	-5,934381E-3	2,877140E-3	-9,496307E-3	-6,090736E-3	-9,486866E-3	2,594185E-3
267,648697E-6	-8,011341E-3	-5,937052E-3	2,884960E-3	-9,490776E-3	-6,085825E-3	-9,548521E-3	2,602148E-3
268,316269E-6	-8,000565E-3	-5,921125E-3	2,872181E-3	-9,481001E-3	-6,074190E-3	-9,540796E-3	2,594566E-3
269,222260E-6	-7,988262E-3	-5,908728E-3	2,859926E-3	-9,486818E-3	-6,089878E-3	-9,528399E-3	2,590084E-3
269,079208E-6	-7,956028E-3	-5,865431E-3	2,842045E-3	-9,485865E-3	-6,086206E-3	-9,566975E-3	2,585793E-3
268,077850E-6	-7,944632E-3	-5,846453E-3	2,846146E-3	-9,473562E-3	-6,050396E-3	-9,561300E-3	2,597952E-3
268,268585E-6	-7,951784E-3	-5,853558E-3	2,847385E-3	-9,466600E-3	-6,041145E-3	-9,553766E-3	2,594757E-3
